id,user_id,payment_status,date
1,2,pending,2018-01-13 18:57:00
2,2,done,2018-01-14 17:14:00
3,2,done,2018-01-15 11:01:00
4,3,done,2018-01-15 12:11:00
5,3,done,2018-01-20 22:26:00
6,3,done,2018-01-21 08:19:00
7,4,done,2018-01-23 09:47:00
8,4,done,2018-01-23 14:32:00
9,4,done,2018-01-23 19:02:00
10,5,done,2018-01-25 20:58:00
11,5,failed,2018-01-26 15:34:00
12,5,done,2018-01-26 22:35:00
13,6,done,2018-01-29 07:49:00
14,6,done,2018-01-30 02:17:00
15,6,done,2018-01-30 16:24:00
16,7,done,2018-01-31 14:15:00
17,7,done,2018-02-01 13:15:00
18,7,done,2018-02-01 13:29:00
19,8,done,2018-02-01 19:10:00
20,8,done,2018-02-03 17:15:00
21,8,done,2018-02-03 22:44:00
22,9,failed,2018-02-05 20:53:00
23,9,done,2018-02-06 14:42:00
24,9,done,2018-02-08 09:15:00
25,10,done,2018-02-08 11:13:00
26,10,done,2018-02-09 17:17:00
27,10,done,2018-02-10 09:24:00
28,11,done,2018-02-10 10:23:00
29,11,done,2018-02-10 16:54:00
30,11,done,2018-02-10 23:31:00
