id,address_id,order_id,shipped_at
1,2,1,NULL
2,8,2,2018-01-15 09:00:00
3,3,3,2018-01-16 09:00:00
4,9,4,2018-01-17 09:00:00
5,10,5,2018-01-21 09:00:00
6,11,6,2018-01-22 09:00:00
7,6,7,2018-01-24 09:00:00
8,10,8,2018-01-24 09:00:00
9,11,9,2018-01-24 09:00:00
10,2,10,2018-01-26 09:00:00
11,5,11,NULL
12,5,12,2018-01-27 09:00:00
13,3,13,2018-01-30 09:00:00
14,2,14,2018-01-31 09:00:00
15,3,15,2018-01-31 09:00:00
16,4,16,2018-02-01 09:00:00
17,4,17,2018-02-02 09:00:00
18,8,18,2018-02-02 09:00:00
19,10,19,2018-02-02 09:00:00
20,5,20,2018-02-04 09:00:00
21,11,21,2018-02-04 09:00:00
22,9,22,NULL
23,6,23,2018-02-07 09:00:00
24,4,24,2018-02-09 09:00:00
25,6,25,2018-02-09 09:00:00
26,7,26,2018-02-10 09:00:00
27,7,27,2018-02-11 09:00:00
28,7,28,2018-02-11 09:00:00
29,9,29,2018-02-11 09:00:00
30,11,30,NULL
